Date Spot,SPC
18 Jul 13,20240
19 Jul 13,20260
20 Jul 13,20270
22 Jul 13,20300
23 Jul 13,20250
24 Jul 13,20220
25 Jul 13,20140
26 Jul 13,20100
27 Jul 13,20190
29 Jul 13,20190
30 Jul 13,20120
31 Jul 13,20170
1 Aug 13,20220
2 Aug 13,20250
3 Aug 13,20430
5 Aug 13,20720
6 Aug 13,20870
7 Aug 13,20930
8 Aug 13,21310
10 Aug 13,21480
12 Aug 13,21390
13 Aug 13,21500
14 Aug 13,21820
16 Aug 13,22270
17 Aug 13,22810
19 Aug 13,22810
20 Aug 13,22810
21 Aug 13,22610
22 Aug 13,22560
23 Aug 13,22490
24 Aug 13,22510
26 Aug 13,22650
27 Aug 13,22790
28 Aug 13,22790
29 Aug 13,23690
30 Aug 13,23390
31 Aug 13,23300
2 Sep 13,23490
3 Sep 13,23390
4 Sep 13,23180
5 Sep 13,22960
6 Sep 13,22900
7 Sep 13,23090
10 Sep 13,22810
11 Sep 13,22660
12 Sep 13,22720
13 Sep 13,22580
14 Sep 13,22600
16 Sep 13,22540
17 Sep 13,22480
18 Sep 13,22400
19 Sep 13,22350
20 Sep 13,22290
21 Sep 13,22350
23 Sep 13,22400
24 Sep 13,22530
25 Sep 13,22830
26 Sep 13,23050
27 Sep 13,23060
28 Sep 13,23050
30 Sep 13,22990
1 Oct 13,23210
3 Oct 13,22920
4 Oct 13,22990
5 Oct 13,23050
7 Oct 13,22860
8 Oct 13,22670
9 Oct 13,22650
10 Oct 13,22730
11 Oct 13,22740
12 Oct 13,22700
14 Oct 13,21720
15 Oct 13,21680
17 Oct 13,21680
18 Oct 13,21630
19 Oct 13,21550
21 Oct 13,21450
22 Oct 13,21470
23 Oct 13,21370
24 Oct 13,21130
25 Oct 13,20950
26 Oct 13,21110
28 Oct 13,20850
29 Oct 13,20710
30 Oct 13,20610
31 Oct 13,20390
1 Nov 13,20010
2 Nov 13,19950
5 Nov 13,19950
6 Nov 13,19950
7 Nov 13,19960
8 Nov 13,19830
9 Nov 13,19710
11 Nov 13,19740
12 Nov 13,19800
13 Nov 13,19740
14 Nov 13,19570
16 Nov 13,19420
18 Nov 13,19100
19 Nov 13,19150
20 Nov 13,19190
21 Nov 13,19290
22 Nov 13,19200
23 Nov 13,19170
25 Nov 13,19070
26 Nov 13,19110
27 Nov 13,19060
28 Nov 13,18810
29 Nov 13,18710
30 Nov 13,18690
2 Dec 13,18650
3 Dec 13,18630
4 Dec 13,18700
5 Dec 13,18720
6 Dec 13,18700
7 Dec 13,18760
9 Dec 13,18740
10 Dec 13,18710
11 Dec 13,18640
12 Dec 13,18670
13 Dec 13,18730
14 Dec 13,18780
16 Dec 13,18810
17 Dec 13,18780
18 Dec 13,18780
19 Dec 13,18930
20 Dec 13,18950
21 Dec 13,18920
23 Dec 13,18880
24 Dec 13,18890
26 Dec 13,19120
27 Dec 13,19130
28 Dec 13,19220
30 Dec 13,19320
31 Dec 13,19480
1 Jan 14,19460
2 Jan 14,19470
3 Jan 14,19450
4 Jan 14,19430
6 Jan 14,19530
7 Jan 14,19640
8 Jan 14,19970
9 Jan 14,19940
10 Jan 14,19960
11 Jan 14,20070
13 Jan 14,20230
15 Jan 14,20320
16 Jan 14,20420
17 Jan 14,20510
18 Jan 14,20460
20 Jan 14,20310
21 Jan 14,20310
22 Jan 14,20450
23 Jan 14,20620
24 Jan 14,20600
25 Jan 14,20550
27 Jan 14,20530
28 Jan 14,20450
29 Jan 14,20440
30 Jan 14,20490
31 Jan 14,20530
1 Feb 14,20480
3 Feb 14,20460
4 Feb 14,20430
5 Feb 14,20500
6 Feb 14,20540
7 Feb 14,20600
8 Feb 14,20620
10 Feb 14,20560
11 Feb 14,20490
12 Feb 14,20560
13 Feb 14,20580
14 Feb 14,20530
15 Feb 14,20470
17 Feb 14,20390
18 Feb 14,20440
19 Feb 14,20440
20 Feb 14,20460
21 Feb 14,20470
22 Feb 14,20490
24 Feb 14,20460
25 Feb 14,20450
26 Feb 14,20410
28 Feb 14,20240
1 Mar 14,20220
3 Mar 14,20030
4 Mar 14,20070
5 Mar 14,20090
6 Mar 14,20100
7 Mar 14,20340
8 Mar 14,20350
10 Mar 14,20330
11 Mar 14,20310
12 Mar 14,20270
13 Mar 14,20250
14 Mar 14,20210
15 Mar 14,20220
18 Mar 14,20190
19 Mar 14,20210
20 Mar 14,20230
21 Mar 14,20240
22 Mar 14,20370
24 Mar 14,20230
25 Mar 14,20130
26 Mar 14,20260
27 Mar 14,20230
28 Mar 14,20270
29 Mar 14,20280
31 Mar 14,20290
1 Apr 14,20260
2 Apr 14,20220
3 Apr 14,20190
4 Apr 14,20200
7 Apr 14,20220
9 Apr 14,20200
10 Apr 14,20130
11 Apr 14,20070
15 Apr 14,20090
16 Apr 14,20130
17 Apr 14,20100
21 Apr 14,20400
22 Apr 14,20430
23 Apr 14,20470
25 Apr 14,20540
28 Apr 14,20590
29 Apr 14,20550
30 Apr 14,20550
2 May 14,20620
5 May 14,20770
6 May 14,20750
7 May 14,20720
8 May 14,20700
9 May 14,20790
12 May 14,20590
13 May 14,20580
15 May 14,20520
16 May 14,20530
19 May 14,20100
20 May 14,20100
21 May 14,20190
22 May 14,20260
23 May 14,20190
26 May 14,20190
27 May 14,20150
28 May 14,20060
29 May 14,19850
30 May 14,19840
2 Jun 14,19810
3 Jun 14,19870
4 Jun 14,19890
5 Jun 14,19850
6 Jun 14,19820
9 Jun 14,19860
10 Jun 14,19920
11 Jun 14,19940
12 Jun 14,19910
13 Jun 14,19900
16 Jun 14,20020
17 Jun 14,20020
18 Jun 14,19980
19 Jun 14,19980
20 Jun 14,20000
23 Jun 14,20170
24 Jun 14,20170
25 Jun 14,20220
26 Jun 14,20210
27 Jun 14,20230
30 Jun 14,20320
1 Jul 14,20350
2 Jul 14,20260
3 Jul 14,20270
4 Jul 14,20220
7 Jul 14,20340
8 Jul 14,20300
9 Jul 14,20170
10 Jul 14,20120
11 Jul 14,20020
14 Jul 14,19940
15 Jul 14,19880
16 Jul 14,19820
17 Jul 14,19730
18 Jul 14,19660
21 Jul 14,19600
22 Jul 14,19590
23 Jul 14,19560
24 Jul 14,19420
25 Jul 14,19260
28 Jul 14,19120
30 Jul 14,18950
31 Jul 14,18880
1 Aug 14,18850
4 Aug 14,18850
5 Aug 14,18950
6 Aug 14,19000
7 Aug 14,18980
8 Aug 14,18940
11 Aug 14,19050
12 Aug 14,19040
13 Aug 14,19010
14 Aug 14,19020
18 Aug 14,19020
19 Aug 14,19040
20 Aug 14,19070
21 Aug 14,19110
22 Aug 14,19070
25 Aug 14,19110
26 Aug 14,19160
27 Aug 14,19120
28 Aug 14,19100
1 Sep 14,19000
2 Sep 14,18990
3 Sep 14,18910
4 Sep 14,18960
5 Sep 14,18930
8 Sep 14,18910
9 Sep 14,18890
10 Sep 14,18850
11 Sep 14,18900
12 Sep 14,18870
15 Sep 14,18840
16 Sep 14,18760
17 Sep 14,18690
18 Sep 14,18630
19 Sep 14,18530
22 Sep 14,18310
23 Sep 14,18180
24 Sep 14,17850
25 Sep 14,17550
26 Sep 14,17460
29 Sep 14,16960
30 Sep 14,16850
1 Oct 14,16690
7 Oct 14,16460
8 Oct 14,16420
9 Oct 14,16400
10 Oct 14,16420
13 Oct 14,16390
14 Oct 14,16380
16 Oct 14,16300
17 Oct 14,16240
20 Oct 14,16010
21 Oct 14,15900
22 Oct 14,15810
27 Oct 14,15810
28 Oct 14,15770
29 Oct 14,15830
30 Oct 14,15980
31 Oct 14,15860
3 Nov 14,15700
5 Nov 14,15670
7 Nov 14,15760
10 Nov 14,15750
11 Nov 14,15730
12 Nov 14,15770
13 Nov 14,15730
14 Nov 14,15710
17 Nov 14,15750
18 Nov 14,15810
19 Nov 14,15830
20 Nov 14,15870
21 Nov 14,15900
24 Nov 14,15950
25 Nov 14,15900
26 Nov 14,15850
27 Nov 14,15820
28 Nov 14,15770
1 Dec 14,15750
2 Dec 14,15770
3 Dec 14,15780
4 Dec 14,15810
5 Dec 14,15820
8 Dec 14,15840
9 Dec 14,15800
10 Dec 14,15830
11 Dec 14,15850
12 Dec 14,15930
15 Dec 14,16050
16 Dec 14,15940
17 Dec 14,15870
18 Dec 14,15880
19 Dec 14,15870
22 Dec 14,15950
23 Dec 14,16010
24 Dec 14,15970
26 Dec 14,15910
29 Dec 14,15940
30 Dec 14,15870
31 Dec 14,15790
1 Jan 15,15690
2 Jan 15,15650
5 Jan 15,15630
6 Jan 15,15610
7 Jan 15,15590
8 Jan 15,15550
9 Jan 15,15430
12 Jan 15,15360
13 Jan 15,15340
14 Jan 15,15340
15 Jan 15,15220
16 Jan 15,15140
19 Jan 15,14790
20 Jan 15,14710
21 Jan 15,14670
22 Jan 15,14600
23 Jan 15,14490
27 Jan 15,14420
28 Jan 15,14430
29 Jan 15,14490
30 Jan 15,14550
2 Feb 15,14590
3 Feb 15,14630
4 Feb 15,14680
5 Feb 15,14660
6 Feb 15,14670
9 Feb 15,14620
10 Feb 15,14600
11 Feb 15,14590
12 Feb 15,14630
13 Feb 15,14690
16 Feb 15,14760
18 Feb 15,14790
19 Feb 15,14840
20 Feb 15,14860
23 Feb 15,14820
24 Feb 15,14810
25 Feb 15,14820
26 Feb 15,14840
27 Feb 15,14840
28 Feb 15,14830
2 Mar 15,14820
3 Mar 15,14810
4 Mar 15,14800
5 Mar 15,14760
9 Mar 15,14780
10 Mar 15,14810
11 Mar 15,14770
12 Mar 15,14800
13 Mar 15,14870
16 Mar 15,14910
17 Mar 15,14970
18 Mar 15,14980
19 Mar 15,14990
20 Mar 15,14950
23 Mar 15,14970
24 Mar 15,14990
25 Mar 15,15010
26 Mar 15,15070
27 Mar 15,15140
30 Mar 15,15370
31 Mar 15,15350
1 Apr 15,15330
6 Apr 15,16010
7 Apr 15,16160
8 Apr 15,16140
9 Apr 15,16120
10 Apr 15,16110
13 Apr 15,16090
15 Apr 15,16080
16 Apr 15,16060
17 Apr 15,16030
20 Apr 15,16020
21 Apr 15,16030
22 Apr 15,16050
23 Apr 15,16060
24 Apr 15,16130
27 Apr 15,16280
28 Apr 15,16260
29 Apr 15,16290
30 Apr 15,16410
5 May 15,16820
6 May 15,16990
7 May 15,16950
8 May 15,16960
11 May 15,16990
12 May 15,16930
13 May 15,16900
14 May 15,16930
15 May 15,16900
18 May 15,16880
19 May 15,16830
20 May 15,16840
21 May 15,16790
22 May 15,16760
25 May 15,16660
26 May 15,16560
27 May 15,16510
28 May 15,16500
29 May 15,16560
1 Jun 15,16690
2 Jun 15,16730
3 Jun 15,16750
4 Jun 15,16880
5 Jun 15,16830
8 Jun 15,16800
9 Jun 15,16770
10 Jun 15,16780
